Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
43.4421,579.852,79.3357,659.187
43.5416,548.936,49.5328,598.469
43.6412,460.995,75.8112,536.806
43.7417,717.124,183.332,900.456
43.8422,486.787,93.1232,579.91
43.9417,2287.41,1992.09,4279.5
44.0423,1914.18,2033.85,3948.02
44.1427,1980.65,2100.03,4080.67
44.2431,7474.3,7614.7,15089
44.3425,58003.7,37183.6,95187.3
44.4433,62522.8,45984.4,108507
44.5439,13373.7,13771.6,27145.3
44.6434,18625.9,19373.7,37999.6
44.7442,20051.8,19086.2,39138
44.8438,19268.8,17996.4,37265.2
44.9433,16690.1,14252.7,30942.8
45.0437,6603.31,6199.85,12803.2
45.1444,1240.48,109.745,1350.22
45.2439,1161.06,134.077,1295.14
45.3445,1178.07,153.222,1331.29
45.445,1056.23,59.9232,1116.15
45.5446,1295.97,139.658,1435.63
45.6451,1127.23,121.297,1248.52
45.7458,3324.08,2366,5690.09
45.8453,3962.47,3533,7495.47
45.9454,396.639,509.704,906.343
46.0488,3246.81,2654.02,5900.82
46.1485,3955.87,3328.02,7283.89
46.2479,2638.74,2360.08,4998.83
46.3472,1339.4,1265.04,2604.43
46.4475,499.634,76.3456,575.98
46.5478,490.844,76.249,567.093
46.6481,480.877,139.466,620.343
46.7486,344.467,198.769,543.236
46.8492,184.739,125.338,310.076
46.9487,48.9089,43.7973,92.7063
47.0483,34.6099,31.1405,65.7504
47.1488,45.0349,37.1558,82.1907
47.2484,58.86,45.1982,104.058
47.348,21.7824,21.1597,42.9421
47.4485,44.8659,37.8522,82.7181
47.5481,21.6023,20.716,42.3182
47.6477,54.695,40.1395,94.8346
47.7482,105.288,96.489,201.777
47.8487,618.879,242.159,861.039
47.9483,2690.78,954.655,3645.43
48.0489,1879.04,315.535,2194.58
48.1485,1668.15,480.851,2149
48.2481,1865.84,839.4,2705.24
48.3486,1341.55,973.469,2315.02
48.4482,1166.4,897.555,2063.96
48.5478,886.788,790.666,1677.45
48.6484,335.855,246.04,581.894
48.7479,462.638,373.446,836.084
48.8475,541.282,370.026,911.308
48.9481,576.221,437.014,1013.24
